,问题,来源,mc,问答对
2562,2023年上海高中招生中，在职消防救援人员驻边远艰苦地区子女的加分分值是多少，由哪个单位出具证明？,853,"Option A: 10分，上海市消防救援总队  
Option B: 10分，上海市应急管理局  
Option C: 5分，上海市教育局  
Option D: 15分，上海市人民政府  
Answer: A",A
2563,上海市消防救援总队负责证明的2023年高中招生加分政策中，边远地区消防救援人员子女可加多少分？,853,"Option A: 5分  
Option B: 10分  
Option C: 15分  
Option D: 20分  
Answer: B",B
2564,2023年上海市中考对驻艰苦边远地区的消防救援人员子女的照顾政策加分是多少？证明单位是哪里？,853,"Option A: 5分，证明单位为应急管理部  
Option B: 10分，证明单位为上海市教育局  
Option C: 15分，证明单位为所在区政府  
Option D: 10分，证明单位为上海市消防救援总队  
Answer: D",D
2565,2023年上海高中阶段招生中，公安英模子女的加分分值是多少？开具其身份证明的机构是哪个？,854,"Option A: 5分，市级公安机关  
Option B: 10分，教育部  
Option C: 10分，省级公安机关  
Option D: 15分，区级教育局  
Answer: C",C
2566,在上海市2023年高中招生中，公安一、二级英雄模范子女的加分资格需要由哪个单位出具证明？加分幅度是多少？,854,"Option A: 市级公安机关，加5分  
Option B: 省级公安机关，加5分  
Option C: 省级公安机关，加10分  
Option D: 国家公安部，加10分  
Answer: C",C
2567,2023年上海市中考中，公安系统一级和二级英雄模范的子女可享多少加分？该加分材料由什么部门认证？,854,"Option A: 5分，市级公安机关  
Option B: 10分，省级公安机关  
Option C: 15分，教育部  
Option D: 10分，学校教务处  
Answer: B",B
2568,2023年上海中考中，公安烈士子女可享受的加分分值是多少？其证明材料应由哪个机构开具？,855,"Option A: 20分，退役军人事务部  
Option B: 10分，省级公安机关  
Option C: 15分，市级教育局  
Option D: 5分，所在学校  
Answer: B",A
2569,因公殉职民警子女在上海市高中招生时能获得多少分的加分？证明单位是哪里？,855,"Option A: 5分，市级公安机关  
Option B: 10分，省级公安机关  
Option C: 15分，教育部  
Option D: 20分，所在学校  
Answer: B",B
2570,2023年上海高中招考中，牺牲民警子女的加分政策是什么？具体分值和认证部门如何规定？,855,"Option A: 加10分，认证部门为省级公安机关  
Option B: 加10分，认证部门为市级公安机关  
Option C: 加5分，认证部门为省级公安机关  
Option D: 加5分，认证部门为教育部  
Answer: A",A
2571,2023年上海市中考中，一至四级伤残的公安民警子女可享受多少加分，需由什么单位出具证明？,856,"Option A: 10分，市级公安机关  
Option B: 5分，省级公安机关  
Option C: 10分，省级公安机关  
Option D: 15分，教育部  
Answer: C",C
2572,在2023年上海高中招生中，公安民警因残疾（一至四级）导致子女加分的具体分值和认证机构是什么？,856,"Option A: 10分，省级公安机关  
Option B: 10分，市级教育局  
Option C: 5分，省级公安机关  
Option D: 20分，区级民政局  
Answer: A",答案：A
2573,上海市2023年高中阶段学校招生对伤残等级为一至四级的民警子女有哪些加分政策？证明单位是哪里？,856,"Option A: 5分，证明单位为市级公安机关  
Option B: 10分，证明单位为省级公安机关  
Option C: 15分，证明单位为区级公安机关  
Option D: 10分，证明单位为教育局  
Answer: B",B
2574,2023年上海市中考中，归侨子女和华侨国内子女可享受的加分分值及证明开具单位是什么？,857,"Option A: 5分，户口所在区侨务部门  
Option B: 5分，上海市教育局  
Option C: 3分，户口所在区侨务部门  
Option D: 3分，街道办党群服务中心  
Answer: A",A
2575,华侨在国内的子女报考上海高中阶段学校时，2023年的加分政策规定加多少分，需由哪个部门出具证明？,857,"Option A: 5分，市侨务部门
    Option B: 5分，户口所在区侨务部门
    Option C: 10分，区教育局
    Option D: 4分，市公安局
    Answer: B",B
2576,归侨青少年在2023年上海高中招生中能获得多少加分？其证明需向哪个机构申请？,857,"Option A: 5分，户口所在区侨务部门  
Option B: 10分，上海市侨务办公室  
Option C: 5分，上海市教育局  
Option D: 3分，户籍所在地街道办事处  
Answer: A",答案：A
2577,2023年上海高中招生中，少数民族学生能获得多少分的加分？需要哪些材料作为身份证明？,858,"Option A: 5分，需户口簿原件（16周岁以上学生须出示身份证）
Option B: 6分，需学校开具的少数民族证明
Option C: 5分，需身份证和出生证明
Option D: 10分，需户口簿复印件
Answer: A",A
2578,在上海市高中阶段招生中，少数民族考生需提供什么证件来申请加分？加分的分值是多少？,858,"Option A: 学生证和身份证，10分  
Option B: 户口簿原件，5分  
Option C: 出生证明和户口簿，5分  
Option D: 身份证和学校证明，3分  
Answer: B",B
2579,2023年上海中考少数民族加分政策中，证明学生身份的材料有哪些？加分额度是多少？,858,"Option A: 户口簿原件和身份证原件（16岁以上学生），5分  
Option B: 户口簿原件，8分  
Option C: 身份证原件，5分  
Option D: 户口簿复印件，5分  
Answer: A",A
2580,2023年上海高中招生中，台湾省学生的加分分值是多少，需由哪个机构提供证明材料？,859,"Option A: 5分，市教育局  
Option B: 10分，区台办  
Option C: 5分，区台办  
Option D: 3分，市台办  
Answer: C",C
2581,台湾省籍学生在2023年上海中考加分政策中能加多少分，证明材料应由什么单位开具？,859,"Option A: 5分，区台办  
Option B: 5分，市台办  
Option C: 3分，区台办  
Option D: 8分，市教育局  
Answer: A",A
2582,针对台湾省学生，2023年上海市高中招生的加分政策及其认证部门分别是什么？,859,"Option A: 8分，市台办认证  
Option B: 5分，市台办认证  
Option C: 5分，区台办认证  
Option D: 3分，区教育局认证  
Answer: C",C
2583,2023年上海中考中，符合国外连续居住5年且处于国内语言适应期的留学回国人员随归子女可获加分是多少？由哪个单位开具证明？,860,"Option A: 5分，上海市人力资源社会保障局留学人员工作处  
Option B: 3分，上海市教育局国际交流处  
Option C: 8分，上海市人民政府外事办公室  
Option D: 5分，上海市教育考试院中招办  
Answer: A",答案：A
2584,留学人员随归子女申请2023年上海高中招生加分需满足哪些条件？对应的加分分值及认证部门是什么？,860,"Option A: 国外生活满3年，适应期3年，加5分，认证单位为上海市教育局  
Option B: 父母未落户，国外生活满5年，适应期3年，加5分，认证单位为上海市人社局留学处  
Option C: 国外生活满5年，适应期2年，加3分，认证单位为上海市人社局留学处  
Option D: 国外生活满5年，适应期3年，加5分，认证单位为上海市人社局留学处  
Answer: D",D
2585,上海市对留学回国人员随归子女的中考加分政策中，国外生活满5年且处于3年适应期的学生能加几分？证明由哪里提供？,860,"Option A: 5分，上海市人力资源社会保障局留学人员工作处  
Option B: 3分，上海市教育局国际交流处  
Option C: 5分，上海市出入境管理局  
Option D: 3分，上海市人民政府外事办公室  
Answer: A",A
2586,2023年上海市中考中，满足国外连续生活5年及适应期条件的留学人员随归子女可获多少加分？其认证机构是哪个单位？,861,"Option A: 5分，上海市人力资源社会保障局留学人员工作处  
Option B: 8分，上海市教育局  
Option C: 3分，上海市出入境管理局  
Option D: 5分，上海市人才服务中心  
Answer: A",A
2587,持有效《上海市海外人才居住证》的留学人员随归子女，若在国外生活满5年且处于适应期内，2023年中考能加多少分？证明由哪个部门出具？,861,"Option A: 5分，上海市人力资源社会保障局留学人员工作处  
Option B: 3分，上海市教育委员会国际交流处  
Option C: 8分，上海市公安局出入境管理局  
Option D: 5分，上海市卫生健康委员会人才服务中心  
Answer: A",A
2588,上海市对符合海外人才居住证要求的随归子女在中考中有何加分政策？具体加分值和负责认证的部门分别是什么？,861,"Option A: 8分，证明单位为上海市教育局  
Option B: 5分，证明单位为上海市人力资源社会保障局留学人员工作处  
Option C: 5分，证明单位为上海市外事办公室  
Option D: 无加分，由所在学校认证  
Answer: B",B
2589,2023年上海市高中招生中，现役军人及消防救援人员子女可享受什么录取政策，需由哪些单位出具证明？,862,"Option A: 优先录取，由上海市教育局和退役军人事务局出具证明  
Option B: 同分优待，由上海警备区政治工作局和上海市消防救援总队出具证明  
Option C: 加分10分，由所在学校和区招生办出具证明  
Option D: 降分录取，由上海市人民政府出具证明  
Answer: B",B
2590,上海中考对现役军人和在职消防救援人员子女的同分优待政策是什么？相关证明的出具单位是哪两个？,862,"Option A: 同分优待，上海警备区政治工作局和上海市消防救援总队
    Option B: 加分政策，上海警备区政治部与应急管理部上海局
    Option C: 优先录取，上海市教育局和退役军人事务局
    Option D: 降分录取，上海市教委和消防救援总队政治部
    Answer: A",A
2591,哪些考生在2023年上海高中阶段招生中可申请同分优待？其证明需由什么机构提供？,862,"Option A: 教师子女；证明由上海市教育局提供  
Option B: 现役军人子女和在职消防救援人员子女；证明由上海警备区政治工作局和上海市消防救援总队提供  
Option C: 所有军人子女；证明由退役军人事务局提供  
Option D: 警察子女；证明由上海市公安局提供  
Answer: B",B
2592,2023年中招政策性照顾加分申请的截止日期是什么时候？,863,"Option A: 2023年5月15日  
Option B: 2023年5月30日  
Option C: 2023年5月31日  
Option D: 2023年6月1日  
Answer: C",C
2593,如果符合多项中招加分政策，能否叠加享受？,863,"Option A: 可以叠加所有符合条件的项目  
Option B: 可以叠加两项  
Option C: 视具体情况而定  
Option D: 不能叠加，只能享受一项  
Answer: D",D
2594,中招加分资格公示的具体要求有哪些？,863,"Option A: 公示3个工作日且仅需校级公示
Option B: 每级核准部门和学校均须公示5个工作日
Option C: 仅在市级部门公示7个工作日
Option D: 符合多项可累计公示10个工作日
Answer: B",B
2595,上海随迁子女被中职校录取时为何不按填报专业分配？,864,"Option A: 学校随机分配专业  
Option B: 录取时不区分专业，入学后统一分班  
Option C: 学生成绩未达到所选专业要求  
Option D: 因填报时存在系统错误  
Answer: B",B
2596,普通中职校录取随迁子女时如何进行专业分班？,864,"Option A: 录取时按填报志愿直接分配  
Option B: 录取后根据成绩、志愿及计划分班  
Option C: 由学校随机分配专业  
Option D: 根据户籍所在地统一安排  
Answer: B",B
2597,随迁子女进入中职校后专业与填报不符的依据是什么？,864,"Option A: 学校自主决定所有专业分配  
Option B: 根据教委文件要求进行专业分班和调剂  
Option C: 由学生入学后的第一次考试成绩单独决定  
Option D: 根据家长提出的书面申请调整  
Answer: B",B
2598,报考硕士研究生需要满足哪些基本资格条件？,865,"Option A: 需要是中国公民，身体健康，并满足学业水平要求  
Option B: 需要是中国公民，拥护党的领导，身体健康，并满足学业水平要求  
Option C: 需要是中共党员，本科毕业满2年，并取得外语证书  
Option D: 需要具备硕士以上学位，并在核心期刊发表论文  
Answer: B",B
2599,哪些学历背景的人员可以申请参加硕士研究生考试？,865,"Option A: 仅国家承认学历的应届本科毕业生  
Option B: 应届本科毕业生和已毕业本科生  
Option C: 应届本科生、已毕业本科生及高职高专毕业生  
Option D: 以上所有  
Answer: D",D
2600,以同等学力身份报考硕士研究生的条件是什么？,865,"Option A: 获得国家承认的高职高专毕业学历后满2年
Option B: 具有国家承认的大学本科毕业学历
Option C: 获得高职高专毕业学历后满2年或本科结业，并符合招生单位的具体学业要求
Option D: 在校研究生经所在培养单位同意
Answer: C",C
2601,硕士研究生考试的报名阶段如何划分？,866,"Option A: 预报名和正式报名两个阶段  
Option B: 预报名、正式报名和现场确认  
Option C: 预报名、正式报名和网上信息确认三个阶段  
Option D: 正式报名和网上信息确认两个阶段  
Answer: C",C
2602,2024年考研的预报名和正式报名时间分别是哪天？,866,"Option A: 预报名时间为2023年9月24日至9月27日，正式报名时间为2023年10月8日至25日  
Option B: 预报名时间为2023年10月8日至25日，正式报名时间为2023年9月24日至27日  
Option C: 预报名时间为2023年9月1日至27日，正式报名时间为2023年10月1日至25日  
Option D: 预报名时间为2023年9月24日至27日，正式报名时间为2023年10月30日至11月4日  
Answer: A",A
2603,网上信息确认的截止日期是什么时候？,866,"Option A: 10月25日22:00  
Option B: 9月27日22:00  
Option C: 11月4日12:00  
Option D: 11月4日16:00  
Answer: C",C
2604,非上海市高校的应届毕业生报名需要提交哪些额外材料？,867,"Option A: 上海市户口簿  
Option B: 上海市户口簿或连续六个月的上海社保缴费记录  
Option C: 不需要任何额外材料  
Option D: 毕业证书原件  
Answer: B",B
2605,网上确认时需要配合完成哪些流程和材料提交？,867,"Option A: 仅提交补充材料  
Option B: 提交补充材料和采集图像，并根据户籍情况上传相应材料  
Option C: 只需要采集个人图像信息  
Option D: 仅非上海户籍考生需提交社保记录  
Answer: B",B
2606,非上海户籍的考生需要提供什么社保相关证明？,867,"Option A: 2022年连续三个月的上海社保缴费记录  
Option B: 2023年连续三个月的上海社保缴费记录  
Option C: 2023年连续六个月的上海社保缴费记录  
Option D: 2024年连续六个月的上海社保缴费记录  
Answer: C",C
2607,上海市少数民族高层次骨干人才计划考生在哪里查看报考指南？,868,"Option A: “上海招考热线”网站—首页—研考成考—研究生招生考试栏目发布的“20XX年...报考须知”  
Option B: 中国研究生招生信息网（研招网）  
Option C: 教育部官网  
Option D: 所在学校教务处官网  
Answer: A",A
2608,少数民族高层次骨干人才计划研究生的备案时间是什么时候？,868,"Option A: 2023年9月10日—9月24日22:00  
Option B: 2023年10月1日—10月15日22:00  
Option C: 2024年10月10日—10月24日22:00  
Option D: 2023年10月10日—10月24日22:00  
Answer: D",D
2609,如何获取上海市硕士研究生少数民族骨干计划的最新报考要求？,868,"Option A: 访问“上海招考热线”网站—研考成考—研究生招生考试栏目查看报考须知  
Option B: 登录yz.chsi.com.cn网站查询备案信息  
Option C: 直接联系上海市教育局电话咨询  
Option D: 查看所在学校研究生院官网通知  
Answer: A",A
2610,上海地区报考少数民族高层次骨干人才计划的考生应通过什么途径上传备案材料？,869,"Option A: 研招网
Option B: 上海招考热线网站
Option C: 电子邮件
Option D: 现场提交
Answer: A",A
2611,少数民族骨干计划考生备案通过后，如何完成后续报名步骤？,869,"Option A: 需要等待考点电话通知后再报名  
Option B: 直接选择相应报考点进行报名  
Option C: 需将材料线下提交至报考点  
Option D: 联系报考点确认资格后再报名  
Answer: B",B
2612,备案材料未在规定时间内上传会怎样？需要关注哪个平台的通知？,869,"Option A: 逾期不再受理，需关注研招网
Option B: 可以补交材料，需关注上海招考热线
Option C: 逾期不再受理，需关注上海招考热线
Option D: 需联系报考点，关注学校官网
Answer: C",C
2613,报考材料审核超过3天未收到反馈，应通过什么方式联系咨询？,870,"Option A: 拨打021-35367070电话咨询  
Option B: 发送邮件至指定官方邮箱  
Option C: 直接前往当地教育局现场咨询  
Option D: 通过官网在线留言系统反馈  
Answer: A",A
2614,少数民族骨干计划备案结果长时间未反馈，如何查询进度？,870,"Option A: 拨打021-35367070咨询（工作日9:00—11:00、13:30—16:00）
Option B: 发送邮件到指定邮箱查询
Option C: 联系所在学校教务处
Option D: 登录在线系统自动查询
Answer: A",答案：A
2615,材料审核延迟超过三个工作日，咨询电话号码是多少？,870,"Option A: 010-35367070  
Option B: 021-35360770  
Option C: 021-35367070  
Option D: 021-35367007  
Answer: C",C
2616,网上确认提交的材料被驳回应该怎么处理？,871,"Option A: 重新提交相同的材料  
Option B: 补充材料并重新提交  
Option C: 放弃报考  
Option D: 直接联系考试院投诉  
Answer: B",B
2617,如果考生材料审核未通过，应该怎么做？,871,"Option A: 放弃报考
    Option B: 提交补充材料
    Option C: 联系其他报考点
    Option D: 重新提交相同材料
    Answer: B",B
2618,网上确认时材料审核未通过需要如何配合报考点？,871,"Option A: 重新进行网络报名
Option B: 联系当地教育部门
Option C: 提交有关补充材料
Option D: 等待下一次网上确认时间
Answer: C",C
2619,参加初试和复试需要准备哪些材料？,872,"Option A: 下载打印的《准考证》及有效居民身份证  
Option B: 学生证和户口本  
Option C: 不需要任何材料  
Option D: 仅有效居民身份证  
Answer: A",A
2620,研招网下载准考证需要提供什么信息？,872,"Option A: 网报用户名和密码  
Option B: 身份证号  
Option C: 手机号码  
Option D: 邮箱和身份证号  
Answer: A",答案：A
2621,打印准考证时有哪些格式要求？,872,"Option A: A4幅面白纸，正反面不得涂改或书写  
Option B: B5幅面白纸，单面打印即可  
Option C: 彩色打印，允许考试期间涂改  
Option D: 任意纸张类型，手写补充信息  
Answer: A",A
2622,如何查询全国硕士研究生招生考试成绩？,873,"Option A: 登录教育部官网查询  
Option B: 访问“上海招考热线”网站，进入“研考成考”栏目查看公告  
Option C: 直接拨打考试中心电话查询  
Option D: 前往当地考试院现场查询  
Answer: B",B
2623,2023年考研成绩的公布时间是什么时候？,873,"Option A: 2023年2月21日  
Option B: 2023年3月15日  
Option C: 2023年1月30日  
Option D: 2023年2月10日  
Answer: A",A
2624,在哪里能找到研究生招生考试成绩公布的官方公告？,873,"Option A: 中国教育考试网
Option B: “上海招考热线”网站—首页—研考成考—研究生招生考试栏目
Option C: 所在学校教务处网站
Option D: 教育部考试中心官网
Answer: B",B
2625,考研成绩的查询方式如何获取？,874,"Option A: 查看各招生单位公布的信息  
Option B: 登录教育部官网查询  
Option C: 通过短信通知获取  
Option D: 询问往届考生  
Answer: A",A
2626,怎样查看研究生入学考试的成绩？,874,"Option A: 通过教育部统一官网查询  
Option B: 根据各招生单位公布的查询方式  
Option C: 到报考学校现场查询  
Option D: 等待招生单位电话通知  
Answer: B",B
2627,研究生招生考试成绩应该通过什么渠道查询？,874,"Option A: 中国教育考试网
Option B: 各招生单位官网
Option C: 省级教育考试院
Option D: 教育部统一平台
Answer: B",B
2628,上海研究生考试成绩复核的网上申请渠道是什么？,875,"Option A: 上海招考热线网站的“成绩查询”栏目  
Option B: 上海市教育考试院官网的“考试服务”栏目  
Option C: 中国研究生招生信息网  
Option D: 各招生单位的研究生招生主页  
Answer: A",A
2629,2023年硕士研究生统考科目成绩复核的办理时间是什么时候？,875,"Option A: 2023年2月22日9:00至2月23日16:00  
Option B: 2023年2月21日至2月24日  
Option C: 2023年3月1日9:00至3月2日16:00  
Option D: 2022年2月22日9:00至2月23日16:00  
Answer: A",A
2630,自命题科目的研究生考试成绩复核应该怎么操作？,875,"Option A: 在上海市教育考试院网站申请  
Option B: 联系所在招生单位或查看其招生主页  
Option C: 直接到考试院现场提交申请  
Option D: 通过电话拨打教育考试院热线申请  
Answer: B",B
2631,哪里可以查到研究生成绩复核的申请时间？,876,"Option A: “上海招考热线”网站—首页—研考成考—研究生招生考试栏目  
Option B: 中国教育考试网  
Option C: 学信网  
Option D: 考生所在学校研究生院官网  
Answer: A",A
2632,2023年研究生考试复核申请的截止时间是什么时候？,876,"Option A: 2023年2月22日16:00  
Option B: 2023年2月23日16:00  
Option C: 2023年2月24日9:00  
Option D: 2023年2月23日9:00  
Answer: B",B
2633,上海研考成绩复核的申请时间段是几点到几点？,876,"Option A: 9:00至16:00  
Option B: 8:00至17:00  
Option C: 10:00至18:00  
Option D: 9:30至16:30  
Answer: A",A
2634,如何查询研究生考试的历史成绩？,877,"Option A: 咨询招生单位  
Option B: 通过考试院官网查询  
Option C: 向当地教育部门申请  
Option D: 无法查询历史成绩  
Answer: A",答案：A
2635,考试院官网能查到往年的考研成绩吗？,877,"Option A: 可以，所有成绩都可查  
Option B: 不可以，只能查当年  
Option C: 需要联系招生单位查询  
Option D: 官网能自动同步历年成绩  
Answer: B",C
2636,往届研究生考试成绩是否可以通过官方渠道查询？,877,"Option A: 可以，直接通过考试院查询  
Option B: 不可以，需咨询招生单位  
Option C: 视具体情况而定  
Option D: 无法确定  
Answer: B",B
2637,哪些情况下报考费不予退还？,878,"Option A: 报名成功且通过网上确认审核但未参加考试  
Option B: 取消报考信息  
Option C: 重复缴费  
Option D: 未进行网上确认  
Answer: A",A/B/C/D
2638,重复缴费的考生能否获得退费？,878,"Option A: 不能  
Option B: 能  
Option C: 需联系人工客服处理  
Option D: 取决于缴费时间  
Answer: B",答案：B
2639,退费后款项会退回至哪个账户？,878,"Option A: 考生新指定的银行账户  
Option B: 原缴费的支付账户  
Option C: 现金支付  
Option D: 研招网内部账户  
Answer: B",B
2640,"""研究生报名费电子票据如何通过电脑端申请？""",879,"Option A: 进入“一网通办”，依次点击“我的主页”→“我的支付”→“财政电子票据”  
Option B: 通过“随申办小程序”进入“我的”→“更多功能”→“我的票据”  
Option C: 登录“一网通办”后直接进入“财政电子票据”页面  
Option D: 在“随申办APP”的“我的支付”中申请电子票据  
Answer: A",答案：A
2641,"""在随申办上怎么获取研究生报名缴费的票据？""",879,"Option A: 进入“我的支付”/“财政电子票据”进行操作  
Option B: 进入“更多功能”/“我的”/“我的票据”进行操作  
Option C: 进入“我的”/“更多功能”/“我的票据”进行操作  
Option D: 进入“我的主页”/“我的支付”/“我的票据”进行操作  
Answer: C",C
2642,"""研究生报名费用的财政电子票据开具途径有哪些？""",879,"Option A: 仅电脑端“一网通办”  
Option B: 仅手机端“随申办”  
Option C: 电脑端和手机端均可  
Option D: 需到线下窗口办理  
Answer: C",C
2643,成人高等学历教育分为哪几种类型？,880,"Option A: 专升本、高起本、高起专  
Option B: 高起本、高起专、研究生  
Option C: 普通本科、高职、专升本  
Option D: 函授班、业余班、网络班  
Answer: A",答案：A
2644,报考成人高校需要满足哪些条件？,880,"Option A: 所有在校学生均可报考  
Option B: 国家承认学历的在校生以外的在职人员和社会人员，且根据不同层次需具备相应学历  
Option C: 无需学历证明，仅需年龄符合要求  
Option D: 仅限普通高校毕业生报考  
Answer: B",B
2645,全国成人高校统一招生考试通常在什么时间进行？,880,"Option A: 10月份  
Option B: 12月份  
Option C: 6月份  
Option D: 3月份  
Answer: A",A
2646,成人高考属于国家教育考试体系吗？,881,"Option A: 不属于  
Option B: 属于  
Option C: 部分属于  
Option D: 不确定  
Answer: B",B
2647,国家教育考试是否包含成人高考？,881,"Option A: 不包含  
Option B: 包含  
Option C: 视情况而定  
Option D: 不确定  
Answer: B",B
2648,成人高考的考试类型是国家级别的吗？,881,"Option A: 不属于国家考试  
Option B: 是  
Option C: 仅属于地方性考试  
Option D: 属于行业认证考试  
Answer: B",B
2649,自考和成人高考的学习方式有什么不同？,882,"Option A: 自考是业余自主学习，成人高考有脱产、业余和函授  
Option B: 两者学习方式完全相同  
Option C: 成人高考只能脱产学习，自考必须参加面授  
Option D: 自考有函授形式，成人高考只能自主学习  
Answer: A",答案：A
2650,成人高考和自考每年分别有几次考试？,882,"Option A: 成人高考两次，自考一次  
Option B: 成人高考一次，自考两次  
Option C: 成人高考两次，自考两次  
Option D: 成人高考一次，自考一次  
Answer: B",B
2651,成人高考与自考的毕业证书类型有何区别？,882,"Option A: 成人高考毕业证书为高等教育自学考试，自考为成人高等教育  
Option B: 成人高考毕业证书为普通高等教育，自考为成人教育  
Option C: 成人高考毕业证书为成人高等教育，自考为高等教育自学考试  
Option D: 两者毕业证书类型完全一致  
Answer: C",C
2652,上海成人高考专升本的具体学历要求是什么？,883,"Option A: 高级中等教育学校毕业或者具有同等学力  
Option B: 具有高中毕业证书  
Option C: 已取得经教育部审定的专科毕业证书或以上  
Option D: 需要本市常住户口  
Answer: C",答案：C
2653,非本市户籍人员能否在上海报考成人高考？,883,"Option A: 不能，必须具有本市户籍  
Option B: 可以，但需要在本市工作  
Option C: 可以，没有任何限制  
Option D: 只能在特定专业报考  
Answer: B",B
2654,报考上海成人高考护理学专业需要提供哪些证书？,883,"Option A: 省级卫生行政部门颁发的执业助理医师及以上资格证书  
Option B: 省级卫生行政部门颁发的执业护士证书  
Option C: 区县级卫生行政部门颁发的乡村医生执业证书  
Option D: 不需要任何证书  
Answer: B",B
2655,如何查询上海成人高考的招生院校及对应专业？,884,"Option A: 访问“上海招考热线”网站，在研考成考-成人高校招生考试栏目查看招生专业目录  
Option B: 拨打上海市教育考试院电话咨询  
Option C: 关注上海市教育局官方微信公众号查询  
Option D: 通过所在学校教务处获取招生信息  
Answer: A",A
2656,2023年上海专升本成人高考的专业目录在哪里下载？,884,"Option A: https://www.shmeea.edu.cn/download/20230829/201.pdf  
Option B: https://www.shmeea.edu.cn/download/20230829/202.pdf  
Option C: https://www.shmeea.edu.cn/download/20230829/203.pdf  
Option D: 网站首页的""高考普通招生""栏目  
Answer: C",C
2657,哪里能获取上海成考高起本、高起专、专升本各层次的专业招生信息？,884,"Option A: “上海招考热线”网站首页的研考成考-成人高校招生考试栏目  
Option B: 中国教育部官网的考试服务板块  
Option C: 各招生院校的微信公众号  
Option D: 上海市教育局线下服务大厅  
Answer: A",答案：A
2658,如何查询上海市成人高校招生的咨询电话和地址？,885,"Option A: 拨打教育局电话咨询  
Option B: 访问上海招考热线网站，在研考成考栏目查看公告附件  
Option C: 直接前往招生院校现场咨询  
Option D: 登录上海市人民政府官网查询  
Answer: B",B
2659,想了解上海成考院校的联系方式，应该通过什么途径获取？,885,"Option A: 拨打上海市教育考试院的热线电话  
Option B: 前往目标院校的招生办公室咨询  
Option C: 在“上海招考热线”网站的研考成考栏目下查找相关公告附件  
Option D: 查看教育部的官方网站  
Answer: C",答案：C
2660,上海招考热线网站中哪个栏目可以找到成人高校的报名咨询电话表？,885,"Option A: 研考成考  
Option B: 成人高校招生考试  
Option C: 高考中考  
Option D: 自学考试  
Answer: B",A
2661,如何查询上海市成人高考的报名时间？,886,"Option A: 拨打上海市教育局的热线电话咨询  
Option B: 查看“上海教育”微信公众号发布的通知  
Option C: 访问“上海招考热线”网站相关栏目查看公告  
Option D: 前往当地教育局现场查询  
Answer: C",C
2662,2023年上海成人高考的报名日期是什么时候？,886,"Option A: 9月1日至9月5日  
Option B: 9月2日至9月6日每天9:00至22:00，以及9月7日9:00至12:00  
Option C: 8月28日至9月3日  
Option D: 10月10日至10月15日  
Answer: B",B
2663,成人高考每天的报名时间段是几点到几点？,886,"Option A: 8:00至20:00  
Option B: 9:00至22:00  
Option C: 9:00至12:00  
Option D: 10:00至18:00  
Answer: B",B
2664,上海成人高考的报名流程是怎样的？,887,"Option A: 考生直接到指定地点提交纸质材料并现场签署所有协议  
Option B: 考生登录指定网站填写信息、填报志愿、签署协议并上传所需材料  
Option C: 通过手机APP完成报名后邮寄纸质材料到考试院  
Option D: 考生需先通过电话预报名再现场确认所有材料  
Answer: B",B
2665,如何在线完成上海市成人高考的报名？,887,"Option A: 登录“上海招考热线”网站填写信息、签署协议并上传材料  
Option B: 直接到上海市教育局现场提交纸质报名表  
Option C: 通过""中国教育考试网""完成全部报名流程  
Option D: 仅需填报志愿无需签署任何承诺书  
Answer: A",A
2666,报名上海成人高考需要签署哪些文件？,887,"Option A: 《2023年上海市成人高校招生考试网上报名协议条款》和《上海市考生诚信考试承诺书》  
Option B: 《网上报名协议条款》《诚信考试承诺书》《专升本考生告知书》《专升本考生承诺书》  
Option C: 《网上报名协议条款》《诚信考试承诺书》《非本市户籍考生承诺书》  
Option D: 《网上报名协议条款》《诚信考试承诺书》《专升本考生告知书》《非本市户籍考生承诺书》  
Answer: A",D
2667,审核不通过后是否需要重新提交材料？,888,"Option A: 不需要  
Option B: 需要  
Option C: 视情况而定  
Option D: 我不知道  
Answer: B",C
2668,2023年成人高考的资格审核时间具体是哪几天？,888,"Option A: 9月1日至9月8日  
Option B: 9月2日至9月9日  
Option C: 9月3日至9月10日  
Option D: 8月25日至9月2日  
Answer: B",B
2669,考生的材料审核由哪个单位负责？,888,"Option A: 第一志愿院校  
    Option B: 考试院  
    Option C: 教育局  
    Option D: 第二志愿院校  
    Answer: A",B
2670,如果人证比对未通过，考生需要采取什么措施？,889,"Option A: 无需任何操作，等待结果  
Option B: 重新在网上提交报考信息  
Option C: 到报考的第一志愿院校进行复核  
Option D: 联系当地教育部门处理  
Answer: C",C
2671,成考报名后复核材料的截止时间是什么时候？,889,"Option A: 9月9日16:30  
Option B: 9月8日16:30  
Option C: 9月10日8:30  
Option D: 9月7日16:30  
Answer: A",A
2672,2023年成人高考现场复核材料的具体时间段是哪几天？,889,"Option A: 9月7日至9月8日
Option B: 9月8日至9月9日
Option C: 9月9日至9月10日
Option D: 9月10日至9月11日
Answer: B",B
2673,上海成人高考缴费的官方网站是哪个？,890,"Option A: 上海教育考试院官网（www.shmeea.com）  
Option B: 上海招考热线（www.shmeea.edu.cn）  
Option C: 中国教育在线（www.eol.cn）  
Option D: 上海市人民政府官网（www.shanghai.gov.cn）  
Answer: B",B
